"date","pressure","parameter","value"
2000-01-05,2,"temperature",5.3527
2000-01-05,5,"temperature",5.7846
2000-01-05,10,"temperature",6.2197
2000-01-05,60,"temperature",6.0751
2000-01-05,2,"salinity",29.8247
2000-01-05,5,"salinity",30.2103
2000-01-05,10,"salinity",30.6519
2000-01-05,60,"salinity",31.4946
2000-01-05,2,"sigmaTheta",23.5379350524369
2000-01-05,5,"sigmaTheta",23.7949726493131
2000-01-05,10,"sigmaTheta",24.0927752674193
2000-01-05,60,"sigmaTheta",24.7754506237354
2000-01-05,2,"temperature",5.3527
2000-01-05,5,"temperature",5.7846
2000-01-05,10,"temperature",6.2197
2000-01-05,60,"temperature",6.0751
2000-01-05,2,"salinity",29.8247
2000-01-05,5,"salinity",30.2103
2000-01-05,10,"salinity",30.6519
2000-01-05,60,"salinity",31.4946
2000-01-05,2,"sigmaTheta",23.5379350524369
2000-01-05,5,"sigmaTheta",23.7949726493131
2000-01-05,10,"sigmaTheta",24.0927752674193
2000-01-05,60,"sigmaTheta",24.7754506237354
2000-01-18,2,"temperature",2.6804
2000-01-18,5,"temperature",2.7852
2000-01-18,10,"temperature",2.9241
2000-01-18,2,"salinity",29.4034
2000-01-18,5,"salinity",29.486
2000-01-18,10,"salinity",29.5949
2000-01-18,2,"sigmaTheta",23.4442587874757
2000-01-18,5,"sigmaTheta",23.5024867800691
2000-01-18,10,"sigmaTheta",23.5789106067157
2000-01-18,2,"temperature",3.3282
2000-01-18,5,"temperature",3.3339
2000-01-18,10,"temperature",3.3965
2000-01-18,2,"salinity",29.7365
2000-01-18,5,"salinity",29.7455
2000-01-18,10,"salinity",29.8679
2000-01-18,2,"sigmaTheta",23.6597370950458
2000-01-18,5,"sigmaTheta",23.6664493720705
2000-01-18,10,"sigmaTheta",23.7587514833361
2000-01-18,2,"temperature",3.6311
2000-01-18,5,"temperature",3.65
2000-01-18,10,"temperature",4.0266
2000-01-18,60,"temperature",6.0755
2000-01-18,2,"salinity",29.8848
2000-01-18,5,"salinity",29.8935
2000-01-18,10,"salinity",30.0609
2000-01-18,60,"salinity",31.4562
2000-01-18,2,"sigmaTheta",23.7522971834989
2000-01-18,5,"sigmaTheta",23.7576003763044
2000-01-18,10,"sigmaTheta",23.8571468382464
2000-01-18,60,"sigmaTheta",24.7450947698771
2000-01-18,2,"temperature",3.9715
2000-01-18,5,"temperature",4.1135
2000-01-18,10,"temperature",4.6364
2000-01-18,2,"salinity",30.2045
2000-01-18,5,"salinity",30.2538
2000-01-18,10,"salinity",30.4893
2000-01-18,2,"sigmaTheta",23.9762262691164
2000-01-18,5,"sigmaTheta",24.0022941712555
2000-01-18,10,"sigmaTheta",24.1385528728297
2000-01-18,2,"temperature",4.5963
2000-01-18,5,"temperature",4.6753
2000-01-18,10,"temperature",5.3419
2000-01-18,2,"salinity",30.2985
2000-01-18,5,"salinity",30.385
2000-01-18,10,"salinity",30.7463
2000-01-18,2,"sigmaTheta",23.9912373500866
2000-01-18,5,"sigmaTheta",24.0519317681815
2000-01-18,10,"sigmaTheta",24.2679896161953
2000-01-18,2,"temperature",4.8776
2000-01-18,5,"temperature",5.1061
2000-01-18,10,"temperature",5.3645
2000-01-18,2,"salinity",30.3576
2000-01-18,5,"salinity",30.5812
2000-01-18,10,"salinity",30.7272
2000-01-18,2,"sigmaTheta",24.0096133067689
2000-01-18,5,"sigmaTheta",24.1627726333656
2000-01-18,10,"sigmaTheta",24.2504038904376
2000-01-19,2,"temperature",2.9102
2000-01-19,5,"temperature",3.005
2000-01-19,10,"temperature",3.5255
2000-01-19,2,"salinity",29.8312
