lon_dd,lat_dd,station,operation,core,optime,type,comments,owner,loc1,kts
-63.6141,44.6811, ,BIO,0,0,Transit, , ,1,5
-63.611,44.676, ,Transit,0,0,Transit, , ,1,5
-63.599,44.674, ,Transit,0,0,Transit, , ,1,5
-63.584,44.663, ,Transit,0,0,Transit, , ,1,5
-63.5687,44.6545, ,Transit,0,0,Transit, , ,1,10
-63.5632,44.6397, ,Transit,0,0,Transit, , ,1,10
-63.5225,44.5717, ,Transit,0,0,Transit, , ,1,12.5
-63.1698,44.2484,M1996,Recover Mooring,0,2,Operations,Nova Scotia Current,Hebert,1,12.5
-63.1698,44.2484,Temp_01,Deploy Mooring,0,2,Operations,Nova Scotia Current,Hebert,1,12.5
-62.8759,43.6095,M1949,Recover Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-62.8759,43.6095,Temp_02,Deploy Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-58.9124,43.8617,M1948,Recover Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-58.9124,43.8617,Temp_03,Deploy Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-57.17,44.4562,M1950,Recover Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-57.17,44.4562,Temp_04,Deploy Mooring,0,2,Operations,Acoustic,Moors-Murphy,1,12.5
-52.8094444,46.51431389,,Transit,0,0,Transit,,,1,12.5
-52.353333,47.493425,,Transit,0,0,Transit,,,1,12.5
-52.102457,52.664488,C1,Recover Mooring,0,5,Operations,,OSNAP,1,10
-51.85437,52.761735,C2,Recover Mooring,0,5,Operations,,OSNAP,1,10
-51.85437,52.761735,C2,Net_CTD,0,2,Operations,,OSNAP,1,10
-52.102457,52.664488,C1,Net_CTD,0,2,Operations,,OSNAP,1,10
-51.68558,52.801842,C3,Net_CTD,0,2,Operations,,OSNAP,1,10
-51.68558,52.801842,C3,Recover Mooring,0,3,Operations,,OSNAP,1,10
-51.68558,52.801842,C3,Deploy Mooring,0,3,Operations,,OSNAP,1,10
-51.85437,52.761735,C2,Deploy Mooring,0,3,Operations,,OSNAP,1,10
-52.102457,52.664488,C1,Deploy Mooring,0,3,Operations,,OSNAP,1,12.5
-54.11086,55.121965,M1640,Recover Mooring/deployement,0,2,Operations,,,1,10
-54.11086,55.121965,Temp_05,Deploy Mooring,0,2,Operations,,,1,10
-53.9933333,55.2633333,L3_09,Net_CTD,0,2.5,Operations,,,1,10
-53.905,55.3416667,L3_09.5,CTD,0,2,Operations,,,1,10
