lon_dd,lat_dd,station,operation,core,optime,xoptime,type,comments,owner,loc1,kts
-63.6141,44.6811, ,BIO,0,0,0,Transit, ,NA,1,5
-63.6403,44.6937,HL_00,CTD,0,1,0,Operations,Equipment tests,NA,1,5
-63.611,44.676, ,Transit,0,0,0,Transit, ,NA,1,5
-63.599,44.674, ,Transit,0,0,0,Transit, ,NA,1,5
-63.584,44.663, ,Transit,0,0,0,Transit, ,NA,1,5
-63.5687,44.6545, ,Transit,0,0,0,Transit, ,NA,1,5
-63.5632,44.6397, ,Transit,0,0,0,Transit, ,NA,1,10
-63.5225,44.5717, ,Transit,0,0,0,Transit, ,NA,1,10
-63.3167,44.2667,HL_02,Nets_2_CTD,1,1,0.5,Operations,,NA,1,10
-65.48,43.25,BBL_01,Net_CTD,1,1,0,Operations,,NA,2,10
-65.48,43,BBL_02,Net_CTD,1,1,0,Operations,,NA,2,10
-65.4833,42.76,BBL_03,Net_CTD,1,1,0,Operations,,NA,2,10
-65.4833,42.45,BBL_04,Net_CTD,1,1,0,Operations,,NA,2,10
-65.84,42.3,PS_03,CTD_2_Nutrients,0,1,0.5,Operations, ,NA,2,10
-65.9033,42.2333,PS_05,CTD_2_Nutrients,0,1,0.5,Operations, ,NA,2,10
-65.9683,42.1633,PS_07,CTD_2_Nutrients,0,1,0.5,Operations, ,NA,2,10
-66.0833,42.0617,PS_09,CTD_Nutrients,0,1,0,Operations, ,NA,2,10
-66.1417,41.99,PS_10,Net_CTD,0,1,0,Operations, ,NA,2,10
-66.0374,42.1183,PS_08,Net_CTD,0,1,0,Operations, ,NA,2,10
-65.9383,42.2,PS_06,Net_2_CTD,0,1,0.5,Operations, ,NA,2,10
-65.87,42.2717,PS_04,Net_2_CTD,0,1,0.5,Operations, ,NA,2,10
-65.8083,42.3367,PS_02,CTD_2_Nutrients,0,1,0.5,Operations, ,NA,2,10
-65.7433,42.4183,PS_01,Net_CTD,0,1,0,Operations, ,NA,2,10
-65.5,42.1333,BBL_05,Net_CTD,1,2,0,Operations, ,NA,2,10
-65.51,42,BBL_06,Net_CTD_2,1,2.5,0.5,Operations,,NA,2,10
-65.35,41.8667,BBL_07,Net_CTD_2,1,3,0,Operations,,NA,2,10
-61.4333,42.475,HL_07,Net_CTD_2_ARGO,1,3,0.5,Operations,APEX,NA,3,10
-61.5167,42.6183,HL_06.7,Net_CTD_2,0,3,0,Operations, ,NA,3,10
-61.6167,42.7333,HL_06.3,Net_CTD_2,0,2.5,0.5,Operations, ,NA,3,10
-61.7333,42.8317,HL_06,Net_CTD_2,1,2.5,0.5,Operations,,NA,3,10
-61.8333,42.94,HL_05.5,Net_CTD,0,1,0,Operations,,NA,3,10
-62.0983,43.1825,HL_05,Net_CTD,1,1,0,Operations, ,NA,3,10
-62.4513,43.479,HL_04,Net_CTD,1,1,0,Operations,,NA,3,10
-62.7527,43.7635,HL_03.3,Net_CTD,0,1,0,Operations,,NA,3,10
-62.8833,43.8833,HL_03,Net_CTD,1,1,0,Operations, ,NA,3,10
-63.3167,44.2667,HL_02,Nets_2_CTD,1,1.5,0,Operations,,NA,3,10
-63.45,44.4002,HL_01,Nets_CTD,1,1,0,Operations,,NA,3,10
-59,43.71,SG_28,Net_CTD_2,0,2.5,0.5,Operations,,NA,4,10
-59.02,44,GULD_03,Net_CTD,0,2,0,Operations, ,NA,4,10
-58.9,43.79,GULD_04,Net_CTD_2,0,2.5,0.5,Operations, ,NA,4,10
-58.73,43.86,SG_23,Net_CTD_2,0,2.5,0.5,Operations,,NA,4,10
